
潮州电台,#genre#
潮州公共,http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8
潮州综合,http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8

央视频道,#genre#
CCTV1,http://39.98.201.151:9090/udp/225.1.8.101:8080
CCTV1,http://39.98.201.151:9090/udp/225.1.8.1:8008
CCTV1,http://117.114.153.26:8180/TV00000000000000000099@HHZT
CCTV1,http://117.114.153.18:8180/TV00000000000000000099@HHZT
CCTV1,http://110.177.146.171:888/udp/239.1.1.7:8007
CCTV2,http://117.114.153.26:8180/TV00000000000000000140@HHZT
CCTV2,http://171.88.123.87:4022/udp/239.93.1.23:6000
CCTV2,http://39.98.201.151:9090/udp/225.1.8.102:8004
CCTV2,http://113.25.70.59:8891/udp/239.1.1.8:8008
CCTV2,http://211.158.153.199:8004/udp/225.0.4.132:7980
CCTV3,http://60.26.2.64:7000/udp/225.1.1.158:5002
CCTV3,http://117.114.153.26:8180/TV00000000000000000104@HHZT
CCTV3,http://wouu.net:9977/udp/239.93.1.11:2223
CCTV3,http://123.145.57.77:8002/udp/225.0.4.142:7980
CCTV4,http://39.98.201.151:9090/udp/225.1.8.104:8216
CCTV4,http://39.98.201.151:9090/udp/225.1.8.4:8092
CCTV4,http://202.103.213.10:8888/udp/239.81.0.96:4056
CCTV4,http://117.114.153.18:8180/TV00000000000000000001@HHZT
CCTV5,http://39.98.201.151:9090/udp/225.1.8.89:8000
CCTV5,http://39.98.201.151:9090/udp/225.1.8.93:8000
CCTV5,http://117.114.153.18:8180/TV00000000000000000105@HHZT
CCTV5,http://27.10.75.129:8006/udp/225.0.4.143:7980
CCTV5,http://wouu.net:9977/udp/239.93.1.36:8004
CCTV5+,http://117.114.153.18:8180/TV00000000000000000066@HHZT
CCTV5+,http://115.234.227.164:8808/udp/233.50.201.220:5140
CCTV5+,http://39.98.201.151:9090/udp/225.1.8.20:8004
CCTV5+,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265016
CCTV5+,http://1.70.34.145:8083/udp/239.1.1.12:8012
CCTV6,http://117.114.153.18:8180/TV00000000000000000091@HHZT
CCTV6,http://39.98.201.151:9090/udp/225.1.8.90:8000
CCTV6,http://27.10.75.218:8010/udp/225.0.4.144:7980
CCTV6,http://211.158.153.199:8004/udp/225.0.4.144:7980
CCTV6,http://211.158.152.144:8002/udp/225.0.4.144:7980
CCTV7,http://39.98.201.151:9090/udp/225.1.8.7:8104
CCTV7,http://117.114.153.26:8180/TV00000000000000000141@HHZT
CCTV7,http://39.98.201.151:9090/udp/225.1.8.107:8024
CCTV7,http://171.88.123.87:4022/udp/239.93.1.67:5140
CCTV7,http://202.103.213.10:8888/udp/239.81.0.116:4056
CCTV8,http://27.10.75.129:8002/udp/225.0.4.137:7980
CCTV8,http://117.114.153.26:8180/TV00000000000000000106@HHZT
